Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz
21.11.2020;19:09:51;MM Oerlikon;251;8599;Kleenex Balsam;1;0;3.1
21.11.2020;19:09:51;MM Oerlikon;251;8599;MClass Basmati Reis;1;0;3.4
21.11.2020;19:09:51;MM Oerlikon;251;8599;Kokosnussmilch;1;0;1.9
21.11.2020;19:09:51;MM Oerlikon;251;8599;MBud P-Geschnetzeltes;0.589;0;8.25
21.11.2020;19:09:51;MM Oerlikon;251;8599;Milch-Schnitte;1;0.2;1.55
21.11.2020;19:09:51;MM Oerlikon;251;8599;Neutrogena Lip SPF4;1;0;3.4
21.11.2020;19:09:51;MM Oerlikon;251;8599;Blumenkohl;0.547;0;2.05
21.11.2020;19:09:51;MM Oerlikon;251;8599;Kartoffeln Amandine;0.273;0;0.9
21.11.2020;19:09:51;MM Oerlikon;251;8599;Peperoncini rot;0.014;0;0.2
21.11.2020;19:09:51;MM Oerlikon;251;8599;Bohnen;1;0;2.75
21.11.2020;19:09:51;MM Oerlikon;251;8599;El Tony Mate 330ml;1;0;1.8
21.11.2020;19:09:51;MM Oerlikon;251;8599;Sélec Tiramisù 2x100g;1;0;2.9
21.11.2020;19:09:51;MM Oerlikon;251;8599;Valflora Halbrahm UHT;1;0;1.3
21.11.2020;19:09:51;MM Oerlikon;251;8599;MClass Cottage Cheese;1;0;1.4
21.11.2020;19:09:51;MM Oerlikon;251;8599;Cherrytomaten gemischt;1;1.4;2.5
24.11.2020;17:39:06;MM Oerlikon;258;6731;MClass Cottage Cheese;1;0;1.4
24.11.2020;17:39:06;MM Oerlikon;258;6731;MClass Cottage Cheese;1;0;1.4
24.11.2020;17:39:06;MM Oerlikon;258;6731;Bio Joghurt Kirschen;2;0;1.6
24.11.2020;17:39:06;MM Oerlikon;258;6731;Bio M-Drink Past;1;0;1.8
24.11.2020;17:39:06;MM Oerlikon;258;6731;MClass Sauerkirschen;1;0;2
24.11.2020;17:39:06;MM Oerlikon;258;6731;Kinder Pingui Schoko;1;0;1.75
24.11.2020;17:39:06;MM Oerlikon;258;6731;Bananen;0.333;0;0.8
24.11.2020;17:39:06;MM Oerlikon;258;6731;Havelaar Limetten;1;0;0.6
24.11.2020;17:40:05;MM Oerlikon;257;9762;MClass Bohnen fein;1;0;1.85
24.11.2020;17:40:05;MM Oerlikon;257;9762;Pfeffer schwarz körnig;1;0;1
24.11.2020;17:40:05;MM Oerlikon;257;9762;Zimt;1;0;0.55
24.11.2020;17:40:05;MM Oerlikon;257;9762;MClass Koch Schokolade;1;0;1.65
24.11.2020;17:40:05;MM Oerlikon;257;9762;MClass Koch Schokolade;1;0;1.65
24.11.2020;17:40:05;MM Oerlikon;257;9762;Alnatura Haferflocken;1;0;1.4
